frase, cartegoria
"Donna 1: ""Hai comprato i biglietti per il concerto?"" Donna 2: ""Sì sono andata al botteghino ieri sera""",saluti
"Donna 1: ""Ti va di uscire stasera con me?"" Donna 2: ""Sì ma devo prima finire questo progetto di lavoro""",carriera
"Donna 1: ""Hai visto il nuovo film di Emma Stone?"" Donna 2: ""Sì l'ho visto ieri e mi è piaciuto molto""",saluti
"Donna 1: ""Come ti senti dopo il parto?"" Donna 2: ""Sto bene solo un po' stordita""",saluti
"Donna 1: ""Hai preso in considerazione il nuovo lavoro offerto?"" Donna 2: ""Sì sto pensando di accettare sembra un'opportunità interessante""",carriera
"Donna 1: ""Ti va di venire al mio compleanno?"" Donna 2: ""Sì naturalmente sarò lieta di celebrare con te""",saluti
"Donna 1: ""Hai letto il nuovo romanzo di Elena Ferrante?"" Donna 2: ""Sì l'ho letto in una settimana è stato molto emozionante""",saluti
"Donna 1: ""Hai preso lezioni di yoga?"" Donna 2: ""Sì mi aiutano a rilassarmi""",saluti
"Donna 1: ""Come ti è sembrato il nuovo ristorante in città?"" Donna 2: ""Mi è piaciuto la cucina è stata buona""",saluti
"Donna 1: ""Hai visto la mia galleria di foto su Instagram?"" Donna 2: ""Sì mi è piaciuta la tua vacanza in Grecia""",saluti
"Donna 1: ""Hai preso in considerazione il viaggio in Giappone?"" Donna 2: ""Sì sto pensando di andarci l'estate prossima""",saluti
"Donna 1: ""Hai letto il libro sugli orsi polari?"" Donna 2: ""Sì l'ho letto con mio figlio era un libro molto bello""",apparenza
"Donna 1: ""Hai preso il treno per la tua vacanza?"" Donna 2: ""Sì ho preso il treno ieri mattina""",saluti
"Donna 1: ""Hai visto il mio nuovo post su Facebook?"" Donna 2: ""Sì mi è piaciuto il tuo articolo sulla salute""",saluti
"Donna 1: ""Hai comprato il nuovo album di musiche classiche?"" Donna 2: ""Sì l'ho ascoltato stasera è molto bello""",apparenza
"Donna 1: ""Hai preso in considerazione il nuovo corso di cucina?"" Donna 2: ""Sì sto pensando di iscrivermi mi piace cucinare""",saluti
"Donna 1: ""Hai visto la mia nuova auto?"" Donna 2: ""Sì è molto bella ti sta molto bene""",saluti
"Donna 1: ""Hai letto il mio nuovo post sul blog?"" Donna 2: ""Sì mi è piaciuto il tuo articolo sul turismo""",saluti
"Donna 1: ""Hai preso in considerazione il nuovo lavoro part-time?"" Donna 2: ""Sì sto pensando di accettare mi sembra un'opportunità interessante""",carriera
"Donna 1: ""Hai visto il mio nuovo anello?"" Donna 2: ""Sì ti sta molto bene è un regalo bello""",apparenza
"Donna 1: ""Hai comprato i biglietti per il concerto?"" Donna 2: ""Sì sono andata al botteghino ieri sera""",saluti
"Donna 1: ""Ti va di uscire stasera con me?"" Donna 2: ""Sì ma devo prima finire questo progetto di lavoro""",carriera
"Donna 1: ""Hai visto il nuovo film di Emma Stone?"" Donna 2: ""Sì l'ho visto ieri e mi è piaciuto molto""",saluti
"Donna 1: ""Come ti senti dopo il parto?"" Donna 2: ""Sto bene solo un po' stordita""",saluti
"Donna 1: ""Hai preso in considerazione il nuovo lavoro offerto?"" Donna 2: ""Sì sto pensando di accettare sembra un'opportunità interessante""",carriera
"Donna 1: ""Ti va di venire al mio compleanno?"" Donna 2: ""Sì naturalmente sarò lieta di celebrare con te""",saluti
